"COMMISSIONE","NOMI","ATTO","DATA"
"10 (Industria) ; 13 (Ambiente)","ANIE","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-27
"10 (Industria) ; 13 (Ambiente)","ANIE","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)",2020-09-27
"10 (Industria) ; 13 (Ambiente)","Movimento consumatori","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)",2020-09-27
"10 (Industria) ; 13 (Ambiente)","RWE Renewables Italia","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-24
"10 (Industria) ; 13 (Ambiente)","Confcommercio","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-24
"10 (Industria) ; 13 (Ambiente)","Confartigianato","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-24
"10 (Industria) ; 13 (Ambiente)","Federazione ANIMA","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-24
"10 (Industria) ; 13 (Ambiente)","Renexia","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-24
"10 (Industria) ; 13 (Ambiente)","Anigas","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-24
"10 (Industria) ; 13 (Ambiente)","Movimento consumatori","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-24
"10 (Industria) ; 13 (Ambiente)","Renexia","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)",2020-09-24
"10 (Industria) ; 13 (Ambiente)","Anigas","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)",2020-09-24
"10 (Industria) ; 13 (Ambiente)","CNA","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-24
"10 (Industria) ; 13 (Ambiente)","Alleanza delle cooperative","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)",2020-09-24
"10 (Industria) ; 13 (Ambiente)","GSE","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-23
"10 (Industria) ; 13 (Ambiente)","Acquirente unico","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-23
"10 (Industria) ; 13 (Ambiente)","GSE","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)",2020-09-23
"10 (Industria) ; 13 (Ambiente)","Acquirente unico","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)",2020-09-23
"10 (Industria) ; 13 (Ambiente)","Unione energie per la mobilità","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-23
"10 (Industria) ; 13 (Ambiente)","Consorzio italiano biogas","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-23
"10 (Industria) ; 13 (Ambiente)","Altroconsumo","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)",2020-09-23
"10 (Industria) ; 13 (Ambiente)","Federchimica - Assogasliquidi","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-23
"10 (Industria) ; 13 (Ambiente)","Utilitalia","AG 291 (Riduzione dell'incidenza di determinati prodotti di plastica sull'ambiente)",2020-09-23
"10 (Industria) ; 13 (Ambiente)","A2A","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)",2020-09-23
"10 (Industria) ; 13 (Ambiente)","UDICON","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)",2020-09-23
"10 (Industria) ; 13 (Ambiente)","Confartigianato Imprese","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)",2020-09-23
"10 (Industria) ; 13 (Ambiente)","prof. Coiro","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-23
"10 (Industria) ; 13 (Ambiente)","CNA","AG 291 (Riduzione dell'incidenza di determinati prodotti di plastica sull'ambiente)",2020-09-23
"10 (Industria) ; 13 (Ambiente)","Alleanza delle cooperative italiane","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-23
"10 (Industria) ; 13 (Ambiente)","Utilitalia","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)",2020-09-23
"10 (Industria) ; 13 (Ambiente)","ANFIMA","AG 291 (Riduzione dell'incidenza di determinati prodotti di plastica sull'ambiente)",2020-09-23
"10 (Industria) ; 13 (Ambiente)","Utilitalia","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-23
"10 (Industria) ; 13 (Ambiente)","Edison","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-23
"10 (Industria) ; 13 (Ambiente)","CNA","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)",2020-09-23
"10 (Industria) ; 13 (Ambiente)","WWF Italia","AG 291 (Riduzione dell'incidenza di determinati prodotti di plastica sull'ambiente)",2020-09-23
"10 (Industria) ; 13 (Ambiente)","H2IT Associazione Italiana Idrogeno e Celle a Combustibile","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-23
"10 (Industria) ; 13 (Ambiente)","Alleanza delle cooperative","AG 291 (Riduzione dell'incidenza di determinati prodotti di plastica sull'ambiente)",2020-09-23
"10 (Industria) ; 13 (Ambiente)","Edison","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)",2020-09-23
"10 (Industria) ; 13 (Ambiente)","A2A","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-23
"10 (Industria) ; 13 (Ambiente)","Tavolo autoconsumo e efficienza energetica","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)",2020-09-23
"10 (Industria) ; 13 (Ambiente)","Turboden SpA","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-23
"10 (Industria) ; 13 (Ambiente)","Assoesco","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-23
"10 (Industria) ; 13 (Ambiente)","Utilitalia","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)",2020-09-23
"10 (Industria) ; 13 (Ambiente)","Neste","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-23
"10 (Industria) ; 13 (Ambiente)","EBS","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-23
"10 (Industria) ; 13 (Ambiente)","Confindustria","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)",2020-09-23
"10 (Industria) ; 13 (Ambiente)","Confida","AG 291 (Riduzione dell'incidenza di determinati prodotti di plastica sull'ambiente)",2020-09-22
"10 (Industria) ; 13 (Ambiente)","Imperial tobacco Italia","AG 291 (Riduzione dell'incidenza di determinati prodotti di plastica sull'ambiente)",2020-09-22
"10 (Industria) ; 13 (Ambiente)","Consiglio nazionale dei geologi","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-22
"10 (Industria) ; 13 (Ambiente)","Assobibe","AG 291 (Riduzione dell'incidenza di determinati prodotti di plastica sull'ambiente)",2020-09-22
"10 (Industria) ; 13 (Ambiente)","Assobibe","AG 291 (Riduzione dell'incidenza di determinati prodotti di plastica sull'ambiente)",2020-09-21
"10 (Industria) ; 13 (Ambiente)","Unionplast","AG 291 (Riduzione dell'incidenza di determinati prodotti di plastica sull'ambiente)",2020-09-21
"10 (Industria) ; 13 (Ambiente)","Federazione carta e grafica","AG 291 (Riduzione dell'incidenza di determinati prodotti di plastica sull'ambiente)",2020-09-21
"10 (Industria) ; 13 (Ambiente)","Terna","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)",2020-09-21
"10 (Industria) ; 13 (Ambiente)","Coordinamento FREE","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-21
"10 (Industria) ; 13 (Ambiente)","Terna","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-21
"10 (Industria) ; 13 (Ambiente)","Assopetroli Assoenergia","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-21
"10 (Industria) ; 13 (Ambiente)","Greenpeace","AG 291 (Riduzione dell'incidenza di determinati prodotti di plastica sull'ambiente)",2020-09-21
"10 (Industria) ; 13 (Ambiente)","UNIEM","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)",2020-09-21
"10 (Industria) ; 13 (Ambiente)","Confcommercio","AG 291 (Riduzione dell'incidenza di determinati prodotti di plastica sull'ambiente)",2020-09-21
"10 (Industria) ; 13 (Ambiente)","Next Chem Maire Tecnimont","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-21
"10 (Industria) ; 13 (Ambiente)","Energia Libera","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-21
"10 (Industria) ; 13 (Ambiente)","Federdistribuzione","AG 291 (Riduzione dell'incidenza di determinati prodotti di plastica sull'ambiente)",2020-09-21
"10 (Industria) ; 13 (Ambiente)","Energia libera","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)",2020-09-21
"10 (Industria) ; 13 (Ambiente)","Coripet","AG 291 (Riduzione dell'incidenza di determinati prodotti di plastica sull'ambiente)",2020-09-20
"10 (Industria) ; 13 (Ambiente)","ASSORIMAP","AG 291 (Riduzione dell'incidenza di determinati prodotti di plastica sull'ambiente)",2020-09-20
"10 (Industria) ; 13 (Ambiente)","Consorzio italiano compostatori","AG 291 (Riduzione dell'incidenza di determinati prodotti di plastica sull'ambiente)",2020-09-20
"10 (Industria) ; 13 (Ambiente)","Consorzio Biorepack","AG 291 (Riduzione dell'incidenza di determinati prodotti di plastica sull'ambiente)",2020-09-20
"10 (Industria) ; 13 (Ambiente)","AIPE","AG 291 (Riduzione dell'incidenza di determinati prodotti di plastica sull'ambiente)",2020-09-20
"10 (Industria) ; 13 (Ambiente)","ANPEB","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-20
"10 (Industria) ; 13 (Ambiente)","AIRU","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-20
"10 (Industria) ; 13 (Ambiente)","Acqua & Sole","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-20
"10 (Industria) ; 13 (Ambiente)","ASSOEBIOS","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-20
"10 (Industria) ; 13 (Ambiente)","Kyoto Club","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-19
"10 (Industria) ; 13 (Ambiente)","RSE","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-16
"10 (Industria) ; 13 (Ambiente)","Elettricità Futura","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-16
"10 (Industria) ; 13 (Ambiente)","Italia Solare","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-16
"10 (Industria) ; 13 (Ambiente)","ARERA","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-16
"10 (Industria) ; 13 (Ambiente)","RSE","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)",2020-09-16
"10 (Industria) ; 13 (Ambiente)","Elettricità Futura","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)",2020-09-16
"10 (Industria) ; 13 (Ambiente)","Italia Solare","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)",2020-09-16
"10 (Industria) ; 13 (Ambiente)","ARERA","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)",2020-09-16
"10 (Industria) ; 13 (Ambiente)","Legambiente - Transport & Environment","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-16
"10 (Industria) ; 13 (Ambiente)","Legambiente","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-16
"10 (Industria) ; 13 (Ambiente)","Greenpeace - WWF - Legambiente - Kyoto Club - Transport & Environment","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-16
